meanExp,defeats,meanIAT,victories,redReferee,weight,yellowReferee,seIAT,height,seExp,ties,goals,games,allCards,mean_rater,age,England,France,Germany,Spain,Attacking Midfielder,Center Back,Center Forward,Center Midfielder,Defensive Midfielder,Goalkeeper,Left Fullback,Left Midfielder,Left Winger,Right Fullback,Right Midfielder,Right Winger
0.37415283623729617,1553,0.33042465182974073,1545,0.0,62.0,0.21837109745648653,5.445622204761367e-05,175.0,0.00023569896261409025,796,535,3894,0,0.0,29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5919754421381219,76,0.3656309179963165,59,0.0053959379067522436,76.0,0.2918502042495565,0.0009549223300519754,190.0,0.00481856461712541,33,0,168,2,0.0,28,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.37356365488307175,114,0.3292755289568422,149,0.00521477287029197,73.0,0.20713868298734875,0.0004696864477514529,173.0,0.0025160357601929496,74,11,337,3,0.0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.37137018261592414,315,0.3405166499886506,374,0.0,87.0,0.1786604272228888,0.00013933987307371214,193.0,0.0006497908977136184,206,219,895,1,0.0,29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5847197936805789,32,0.36923088658532327,40,0.05444266509839295,88.0,0.006099865928729342,0.000493306628022132,190.0,0.0030091011361571603,12,0,84,1,0.0,30,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.35656645464249254,414,0.3280182256282566,256,0.0,78.0,0.1809841796471146,0.00030393610945364134,180.0,0.0013010100499249578,257,152,927,1,0.0,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.4605168884544661,332,0.3512793826615315,637,0.012225995968808237,88.0,0.39017623899155823,0.0002476936240808878,190.0,0.0010947821637629662,353,70,1322,5,0.0,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.5853124258340561,580,0.3687806938830398,314,0.0,69.0,0.3575275235022075,0.00024163503433319053,171.0,0.001056466163592484,294,290,1188,1,0.0,32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.515472868776988,789,0.371319778293508,969,0.015158219098297957,74.0,0.49987322916543075,0.0002825677101641189,180.0,0.0013103588550585114,619,881,2377,4,0.0,37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5637273457994814,775,0.365246808542555,1033,0.0,73.0,0.1733455197988643,0.0002912107279581443,183.0,0.0014049431653937107,570,380,2378,0,0.0,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.575120612873103,813,0.3649633749584525,1852,0.05323282809620646,67.0,0.7306995060582054,0.0003449804395851534,172.0,0.001633505982972148,528,261,3193,4,0.0,32,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.4129780024053999,26,0.34100129194484075,90,0.0,71.0,0.11811569389383399,0.0030429606715677657,188.0,0.015979930938642143,33,15,149,0,0.0,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.5831269734432543,1163,0.3685914985617262,1244,0.07736945201560447,78.0,1.0670275672985634,0.00023244550893433696,182.0,0.0010191763189097275,805,1124,3212,7,0.0,35,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.5933026021401548,384,0.37009558259298947,522,0.0,77.0,0.13414672680244039,0.00023431071032446935,187.0,0.0010300431663839505,416,392,1322,0,0.0,30,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.33596689240030114,8,0.3366281626427209,8,0.0,69.0,0.022419835168100734,5.454025113076391e-05,179.0,0.00022506163657901694,1,6,17,0,1.0,23,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.3403105848033955,158,0.33610666742099216,158,0.013101266776943905,66.0,0.1464268836009584,0.0011516743209486965,176.0,0.006243230550907456,164,116,480,1,1.0,28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3230605819847399,616,0.33045126007769327,481,0.013415697179590557,74.0,0.6433364161675856,0.001048292205267073,180.0,0.004618163794158756,506,22,1603,3,1.0,33,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.5652823008469403,1380,0.3658222978133018,2735,0.06917863984333623,77.0,1.7268285818107705,0.000314911534440375,181.0,0.0014103604009409144,1357,95,5472,9,0.0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
